Filename,Camera,Model,Detected_Diameter_mm,Status
cam2__YCA__44875__20260410_200438_061884.jpg,cam2,YCA,13.06,2
cam2__YED__26314__20260410_200527_442917.jpg,cam2,YED,15.18,2
cam1__YED__26314__20260410_200527_417430.jpg,cam1,YED,14.94,2
cam2__YED__57772__20260410_200623_828169.jpg,cam2,YED,15.06,2
cam1__YED__57772__20260410_200623_850248.jpg,cam1,YED,15.18,2
cam2__YED__26315__20260410_200716_323718.jpg,cam2,YED,15.06,2
cam1__YED__26315__20260410_200716_411968.jpg,cam1,YED,15.18,2
cam1__YCA__44876__20260410_200809_750170.jpg,cam1,YCA,13.18,2
cam2__YCA__44876__20260410_200809_825031.jpg,cam2,YCA,13.18,2
cam2__YED__26316__20260410_200901_131885.jpg,cam2,YED,15.18,2
cam1__YED__26316__20260410_200901_049110.jpg,cam1,YED,15.18,2
cam1__YED__57773__20260410_200954_506212.jpg,cam1,YED,15.18,2
cam2__YED__57773__20260410_200954_414699.jpg,cam2,YED,15.18,2
cam2__YED__26317__20260410_201047_948613.jpg,cam2,YED,15.06,2
cam1__YED__26317__20260410_201047_990297.jpg,cam1,YED,15.18,2
cam2__YCA__44877__20260410_201156_480240.jpg,cam2,YCA,12.71,1
cam1__YCA__44877__20260410_201156_527553.jpg,cam1,YCA,13.06,2
cam2__YED__26318__20260410_201247_840417.jpg,cam2,YED,15.18,2
cam1__YED__26318__20260410_201247_896846.jpg,cam1,YED,15.18,2
cam1__YCA__44878__20260410_201342_305710.jpg,cam1,YCA,12.94,2
cam2__YCA__44878__20260410_201342_361141.jpg,cam2,YCA,12.94,2
cam2__YED__26319__20260410_201433_681449.jpg,cam2,YED,14.94,2
cam1__YED__26319__20260410_201433_643624.jpg,cam1,YED,15.18,2
cam1__YED__57774__20260410_201528_133586.jpg,cam1,YED,15.18,2
cam2__YED__57774__20260410_201528_169145.jpg,cam2,YED,14.94,2
cam2__YED__26320__20260410_201637_829942.jpg,cam2,YED,14.94,2
cam1__YED__26320__20260410_201637_792237.jpg,cam1,YED,15.18,2
cam2__YCA__44879__20260410_201745_422170.jpg,cam2,YCA,13.18,2
cam1__YCA__44879__20260410_201745_515231.jpg,cam1,YCA,13.06,2
cam2__YED__26321__20260410_201836_702859.jpg,cam2,YED,15.18,2
cam1__YED__26321__20260410_201836_728067.jpg,cam1,YED,15.06,2
